540	3.819953	-1.566812
573	5.535994	-1.552584
488	4.951469	-1.529004
509	6.14381	-1.526854
592	2.917732	-1.505016
551	5.897597	-1.500415
594	3.582017	-1.497248
567	2.341806	-1.495105
557	3.151819	-1.494557
523	3.381439	-1.485684
465	0.058135	-1.483427
588	5.637595	-1.480217
551	0.42526	-1.47951
563	5.855749	-1.477704
596	4.115754	-1.474198
386	3.7827	-1.460278
588	4.389046	-1.452806
544	3.93504	-1.4526
523	3.94786	-1.449289
590	0.427247	-1.448192
521	5.719872	-1.443715
536	3.646204	-1.442796
569	1.303972	-1.439382
509	0.043793	-1.435079
600	2.621185	-1.434918
546	6.272494	-1.434134
492	6.248761	-1.431498
598	1.138675	-1.423845
567	4.736141	-1.422205
448	5.960564	-1.420377
584	5.218642	-1.419823
476	5.403145	-1.418758
523	3.744741	-1.413849
544	5.381225	-1.413106
569	2.504082	-1.412695
544	2.200598	-1.412231
575	6.074647	-1.412192
475	4.587843	-1.411256
596	1.745533	-1.410465
548	2.461623	-1.410004
507	2.817762	-1.405692
569	1.471067	-1.404501
528	2.815532	-1.404458
308	5.846949	-1.403937
561	4.840373	-1.400321
553	1.125671	-1.400002
594	5.979413	-1.398427
563	3.762864	-1.398166
580	2.847087	-1.388581
507	2.294768	-1.387618
588	1.817697	-1.386148
480	3.221651	-1.38426
509	0.661774	-1.380717
509	1.944455	-1.380455
331	3.874026	-1.379591
582	0.818213	-1.378636
373	4.334779	-1.377011
544	6.216324	-1.375171
565	5.914213	-1.374824
296	4.277676	-1.373402
333	2.772762	-1.371965
596	3.202413	-1.37137
594	0.408655	-1.370159
565	3.465736	-1.369164
555	0.916236	-1.3675
555	1.309975	-1.366598
540	3.139955	-1.365222
586	4.098514	-1.359919
571	3.739146	-1.355551
578	1.214581	-1.355353
555	1.989981	-1.354973
399	4.376806	-1.352917
573	5.837447	-1.352833
407	2.184494	-1.352362
544	0.093711	-1.351353
355	5.67875	-1.3507
565	0.855013	-1.350687
578	6.166794	-1.350629
283	0.111873	-1.348357
565	3.927822	-1.346705
436	0.00697	-1.345042
513	5.518365	-1.3443
423	2.175201	-1.342506
582	6.188911	-1.341623
244	3.68847	-1.340355
528	2.558389	-1.339994
571	3.79441	-1.339171
586	2.409442	-1.338021
478	3.917767	-1.338015
498	3.085905	-1.337233
446	3.162442	-1.335511
488	1.448092	-1.332415
598	2.772514	-1.331845
569	4.702329	-1.329559
590	5.811597	-1.328473
594	3.311382	-1.3276
548	4.049238	-1.325222
584	3.042396	-1.324644
546	4.761524	-1.324541
475	3.175779	-1.315404
540	2.867852	-1.310738
436	0.743841	-1.310163
594	4.815394	-1.309769
476	1.287988	-1.307898
451	0.21199	-1.307667
576	2.432212	-1.307154
478	3.513011	-1.307032
505	1.615458	-1.304677
490	2.789318	-1.300154
592	0.531765	-1.299324
234	0.991507	-1.29572
419	2.724438	-1.292094
565	4.856035	-1.290939
442	1.460604	-1.287031
598	4.767233	-1.285815
578	0.623407	-1.285362
559	6.058877	-1.284321
503	3.168585	-1.283806
578	2.190713	-1.281076
594	2.237072	-1.28032
421	2.753399	-1.277959
546	3.897425	-1.277414
569	5.538602	-1.277094
526	2.735024	-1.277024
467	2.4941	-1.275504
563	3.281942	-1.274111
448	5.238557	-1.272522
373	2.015066	-1.267216
451	2.378653	-1.267157
590	5.547297	-1.266137
571	5.189828	-1.265423
536	4.21467	-1.263638
600	2.985324	-1.261116
517	5.866819	-1.261068
561	3.388243	-1.259868
444	3.283261	-1.258957
569	2.707263	-1.258911
553	2.810713	-1.257767
557	3.487676	-1.257257
517	2.750352	-1.256512
521	3.358663	-1.256398
567	3.95813	-1.25498
569	5.608183	-1.253135
565	4.012008	-1.253009
501	3.339847	-1.2516
523	2.474481	-1.249693
592	5.594956	-1.249157
328	3.413259	-1.248762
523	2.181216	-1.248096
584	0.575155	-1.247631
580	2.929927	-1.246807
370	4.90017	-1.246649
513	1.32085	-1.244671
596	5.389164	-1.242479
521	4.338552	-1.238975
598	1.795286	-1.238547
588	2.811814	-1.236699
594	4.504395	-1.234312
523	2.380804	-1.231129
335	1.870747	-1.230442
588	6.215183	-1.230289
555	3.572533	-1.229494
569	1.76684	-1.22931
594	5.869419	-1.22926
588	1.942342	-1.22878
567	2.26493	-1.228483
484	3.711074	-1.227062
451	3.097714	-1.225671
409	5.555994	-1.223934
592	4.547009	-1.22388
494	4.31298	-1.223209
383	3.989466	-1.223119
381	2.677937	-1.222393
486	1.669564	-1.221456
509	3.821903	-1.221217
594	2.723746	-1.220295
503	5.603718	-1.217087
214	2.41381	-1.2168
519	1.681961	-1.216336
598	3.470729	-1.216138
501	5.719386	-1.215263
592	0.090138	-1.215186
567	5.392451	-1.214935
519	0.240003	-1.213474
430	0.644814	-1.213425
353	5.623212	-1.213096
578	3.32522	-1.211391
457	3.62937	-1.211281
573	2.77116	-1.210412
592	0.819508	-1.208902
332	3.303837	-1.206641
137	4.401127	-1.204759
498	0.330542	-1.202115
559	1.608927	-1.201546
573	6.042629	-1.201142
511	5.451118	-1.200374
588	4.989441	-1.200011
553	2.431643	-1.198862
494	2.361179	-1.198763
335	4.009507	-1.198683
455	0.618504	-1.198333
584	3.169223	-1.198193
490	2.129004	-1.197596
478	4.169126	-1.197347
496	5.110245	-1.194397
515	5.017281	-1.19423
596	5.079309	-1.193297
584	3.161876	-1.192561
565	4.041498	-1.192223
548	3.238462	-1.192184
526	4.470491	-1.191687
465	0.696328	-1.191483
571	2.28597	-1.190518
563	2.848269	-1.190498
563	3.774734	-1.190233
368	3.343538	-1.18871
248	3.218287	-1.186137
394	1.906031	-1.186078
471	1.831909	-1.185377
523	3.469895	-1.184958
484	0.585742	-1.184058
475	2.955353	-1.183743
561	3.440323	-1.183279
442	4.546548	-1.18282
352	3.293904	-1.182581
526	0.591123	-1.182398
559	3.801646	-1.181886
590	4.416971	-1.181267
505	3.642581	-1.180752
455	0.50149	-1.180671
573	3.044761	-1.180199
528	0.722313	-1.180133
550	3.238121	-1.178484
590	5.884479	-1.177903
565	6.10139	-1.177598
409	4.960882	-1.173447
557	4.508611	-1.172792
446	1.369022	-1.172607
569	4.392414	-1.171284
573	3.968436	-1.170839
573	2.434131	-1.17026
563	3.020878	-1.168703
534	5.23767	-1.168477
492	5.244155	-1.168389
569	1.526704	-1.167649
555	2.71824	-1.167646
546	1.706143	-1.167114
544	4.194995	-1.166727
411	3.090281	-1.166138
580	5.191876	-1.166109
551	2.315082	-1.165762
434	3.478517	-1.16559
567	5.419033	-1.165192
401	3.078802	-1.164638
580	2.493864	-1.164467
548	1.28067	-1.163706
588	5.049251	-1.163454
578	4.974441	-1.16332
586	6.139739	-1.162055
509	2.94686	-1.160855
471	0.634605	-1.160539
438	2.366871	-1.158826
544	2.676962	-1.15843
561	5.272375	-1.158106
379	4.087208	-1.157451
377	5.432159	-1.155464
350	5.273918	-1.15504
350	2.206696	-1.1543
580	0.522222	-1.153079
571	2.084328	-1.150322
594	4.054677	-1.149999
530	5.155798	-1.149372
517	3.783519	-1.148804
509	2.656021	-1.1487
592	3.658734	-1.148434
463	1.504359	-1.147302
596	3.169472	-1.14684
480	2.174306	-1.145168
393	1.619884	-1.144759
501	6.282814	-1.144536
532	4.344761	-1.143109
548	0.185316	-1.142634
511	0.273641	-1.142427
586	4.135935	-1.142185
488	3.052121	-1.141407
430	5.613158	-1.140895
590	3.438816	-1.139807
551	3.961678	-1.139276
592	4.916901	-1.138821
550	0.338522	-1.138161
546	3.106057	-1.138059
538	2.744801	-1.137543
571	2.703954	-1.136859
315	2.561715	-1.13572
350	3.850674	-1.13402
496	5.878843	-1.133881
565	2.981698	-1.133674
